# CANDELS GOODS-S Catalog: Last revised Mon Sep 29 08:49:43 EDT 2014
# Passbands: UBRIzYJHKs (U=VIMOS OR CTIO; B..z=ACS; Y..H=WFC3; Ks=HAWK-I OR ISAAC)
#9 22183 0.0409650328530259
#0.3722 0.4317 0.5918 0.7693 0.9055 1.0550 1.2486 1.5370 2.15
  320 1.326  0.340 26.41 26.11 26.14 25.60 25.30 24.86 24.81 24.78 24.13
  327 1.155  0.262 25.76 25.90 25.66 25.21 24.87 24.73 24.80 24.48 23.84
  330 1.959  0.297 26.61 26.22 26.07 25.83 25.95 26.34 25.37 25.09 25.31
  331 2.867  0.116 27.59 26.83 26.00 25.87 26.01 25.68 25.97 25.40 24.54
  338 0.663  0.120 24.70 24.78 24.42 23.95 23.96 23.99 24.00 23.92 23.97
  339 1.332  0.158 26.91 26.77 26.61 26.31 25.69 25.46 25.18 25.10 24.90
  341 2.261  0.153 26.71 26.13 25.84 25.84 25.78 25.97 25.55 25.31 24.84
  342 0.673  0.136 25.54 25.26 25.08 24.54 24.51 24.60 24.61 24.54 24.34
  348 1.350  0.135 27.34 26.71 26.76 26.58 26.16 25.98 25.87 25.92 26.15
  355 2.232  0.118 26.76 26.63 25.95 25.86 25.78 25.83 25.44 24.92 24.75
  357 1.901  0.117 23.93 24.01 23.98 24.03 24.02 23.90 23.95 23.19 23.84
  358 0.996  0.275 26.38 26.36 26.17 25.54 25.07 25.02 24.93 24.64 24.37
  359 0.531  0.360 26.00 25.48 25.03 24.69 24.77 24.90 24.93 24.87 25.34
  360 0.999  0.104 28.32 28.20 27.41 26.93 26.62 25.98 25.61 25.65 26.33
  361 1.515  0.132 27.48 27.16 27.31 27.23 27.20 27.03 26.60 26.08 25.51
  364 1.235  0.105 28.80 27.18 25.90 24.81 23.73 23.05 22.69 22.38 22.10
  366 1.923  0.379 24.90 24.32 23.98 23.61 23.35 22.91 22.56 22.22 22.07
  367 1.342  0.161 25.35 25.24 25.22 25.13 24.60 24.36 24.27 24.22 24.59
  368 0.657  0.193 24.47 24.42 23.92 23.36 23.31 23.30 23.22 23.13 22.89
  369 0.673  0.091 27.47 27.35 26.83 26.25 26.36 26.25 26.17 26.16 26.14
  371 1.739  0.233 24.58 24.38 24.10 23.75 23.48 23.08 22.76 22.57 22.07
  372 2.514  0.481 25.98 25.22 24.34 24.04 23.79 23.64 23.31 22.74 22.38
  374 1.926  0.146 24.93 24.95 24.82 24.83 24.81 24.80 24.44 23.95 23.93
  375 0.428  0.752 24.66 24.18 23.25 22.98 22.77 22.82 22.80 22.67 22.93
  379 0.638  0.102 28.33 28.34 26.79 26.37 25.88 25.83 25.75 25.60 26.08
  380 3.196  0.190 29.49 26.48 25.15 24.83 24.74 24.82 24.70 24.44 24.01
  382 2.506  0.209 26.50 25.98 25.15 25.05 24.85 24.74 24.39 23.87 23.52
  386 2.863  0.088 27.35 27.09 26.21 26.12 26.12 26.16 26.55 25.61 26.37
  390 0.666  0.191 24.83 24.91 24.36 23.82 23.77 23.79 23.63 23.48 23.39
  391 1.583  0.105 27.94 27.83 27.48 27.14 27.06 26.21 26.19 26.00 99.00
  394 0.799  0.124 24.62 24.66 24.48 24.09 23.74 23.81 23.73 23.76 23.73
  395 2.568  0.106 27.26 26.90 26.15 26.00 25.87 25.62 25.44 24.92 25.42
  399 1.106  0.153 26.95 26.97 26.37 25.39 24.73 24.50 24.19 23.99 23.71
  402 2.302  0.386 99.00 28.28 27.40 25.96 26.08 25.41 24.51 23.34 23.03
  403 1.041  0.471 25.14 24.87 24.69 24.18 23.73 23.71 23.60 23.45 23.66
  405 0.379  0.171 25.24 24.97 24.08 23.80 23.63 23.65 23.60 23.48 23.22
  406 1.892  0.113 27.24 27.30 26.85 27.00 26.68 26.32 25.69 25.50 25.90
  407 0.000  0.164 28.48 26.96 26.32 25.02 24.30 23.98 23.73 23.48 23.19
  408 2.031  0.189 26.29 25.76 25.64 25.60 25.72 25.81 25.39 25.12 25.77
  409 1.118  0.140 26.29 25.93 25.99 25.85 25.48 25.08 25.10 25.31 24.69
  410 0.550  0.263 99.00 28.57 30.50 27.53 25.84 25.51 25.55 25.30 25.25
  411 0.654  0.186 26.46 26.45 26.00 25.37 25.35 25.30 25.38 25.08 25.07
  412 0.663  0.115 24.81 24.79 24.46 23.90 23.89 23.92 24.00 23.97 23.90
  413 2.688  0.366 26.13 25.48 24.50 24.36 24.16 24.08 23.80 23.36 23.28
  414 0.688  0.323 25.73 25.53 25.22 24.72 24.87 24.71 24.85 24.68 24.87
  416 2.361  0.123 27.70 26.99 26.38 26.21 26.25 26.19 25.77 25.20 25.65
  417 0.558  0.194 27.72 27.40 26.60 25.75 25.88 25.80 25.73 25.55 25.81
  419 1.012  0.124 26.88 26.61 26.42 25.90 25.69 25.61 25.55 25.18 25.08
  421 1.179  0.184 26.69 26.61 26.63 26.15 25.78 25.51 25.40 25.28 26.23
  422 1.452  0.085 27.10 27.60 27.26 27.50 27.08 26.12 26.58 26.26 25.84
  423 2.605  0.663 26.52 25.32 24.30 24.20 24.06 24.03 23.76 23.14 23.82
  424 1.684  0.167 27.16 27.14 26.90 26.67 25.99 25.89 25.62 25.37 25.54
  430 2.355  0.140 27.39 26.89 26.13 25.84 25.81 25.72 25.32 24.61 24.45
  431 2.204  0.139 27.31 26.95 26.50 26.31 26.31 26.08 25.61 24.91 24.58
  433 0.254  0.485 25.62 24.90 24.10 24.03 23.99 24.19 23.99 24.18 24.92
  437 0.744  0.100 27.33 26.84 26.61 26.07 25.76 25.57 25.80 25.78 25.69
  438 2.364  0.091 27.68 27.89 26.70 26.72 26.86 26.73 26.79 26.31 25.97
  440 2.589  0.127 28.46 27.09 26.58 26.43 26.55 26.12 26.22 25.41 25.32
  442 0.739  0.144 27.82 27.27 26.64 25.87 25.80 25.74 25.69 25.68 25.95
  443 2.011  0.184 26.02 25.84 25.43 25.33 25.20 25.15 24.79 24.49 24.26
  444 2.917  0.199 27.72 26.82 25.80 25.63 25.63 25.66 25.92 25.58 25.49
  447 1.585  0.117 25.91 25.87 25.86 25.91 25.93 25.54 25.41 25.56 25.34
  449 3.546  0.145 99.00 28.67 27.12 26.29 26.33 25.91 26.00 25.94 26.08
  451 2.669  0.152 26.71 26.56 25.80 25.65 25.90 25.73 25.82 25.33 25.11
  455 0.316  0.187 26.75 26.99 25.87 25.80 25.54 25.68 25.53 25.32 25.00
  456 0.279  0.303 24.32 24.05 23.42 23.30 23.22 23.35 23.26 23.28 23.33
  457 0.781  0.165 27.59 27.99 27.06 26.42 26.14 25.82 25.96 25.86 99.00
  462 3.825  0.478 99.00 28.32 29.29 99.00 29.01 26.29 99.00 24.75 26.06
  465 2.541  0.254 25.89 25.44 24.67 24.53 24.41 24.40 24.04 23.53 23.55
  466 0.838  0.127 27.10 26.64 26.12 25.99 26.03 25.94 25.62 25.81 25.73
  467 2.755  0.220 26.58 26.06 25.31 25.25 25.25 25.32 25.13 24.70 24.63
  468 0.398  0.265 27.92 27.45 25.99 25.48 25.32 25.42 25.12 24.92 25.70
  471 1.940  0.146 26.60 26.20 25.83 25.86 25.95 25.87 25.56 25.32 25.16
  472 0.811  0.194 24.43 24.47 24.15 23.42 23.24 23.25 23.22 23.15 23.24
  473 2.689  0.101 27.14 26.77 25.98 25.95 25.91 26.07 25.82 25.45 25.55
  474 0.342  0.427 25.43 24.79 23.80 23.46 23.30 23.27 23.25 23.15 23.36
  475 1.106  0.130 25.74 25.62 25.46 25.08 24.86 24.69 24.70 24.72 24.75
  477 0.505  0.193 26.41 26.41 25.59 25.20 24.98 24.99 24.97 24.95 25.09
  479 0.858  0.167 26.25 26.33 26.15 25.79 25.65 26.02 25.85 25.60 99.00
  482 0.000  0.260 25.49 25.26 24.71 23.74 23.06 22.70 22.30 21.91 21.36
  483 0.976  0.210 24.62 24.69 24.32 23.60 23.28 23.15 23.00 22.88 22.60
  484 2.167  0.140 27.45 27.06 26.76 26.68 26.77 26.64 26.38 25.93 26.72
  485 1.942  0.094 26.77 26.77 26.61 26.70 26.58 26.34 26.24 25.94 25.83
  487 1.921  0.100 26.97 26.98 26.63 26.60 26.49 26.00 25.83 25.32 25.47
  489 3.079  0.207 27.78 25.91 24.71 24.28 24.21 24.13 23.88 23.32 22.86
  490 3.014  0.228 29.19 27.14 26.08 25.59 25.56 25.25 25.11 24.45 24.21
  491 0.222  0.114 23.92 23.69 23.24 23.16 23.34 23.30 23.26 23.20 23.09
  492 1.676  0.216 25.75 26.27 26.18 26.17 26.15 25.76 25.40 25.29 25.74
  494 2.177  0.122 25.46 24.88 24.42 24.18 24.03 23.87 23.50 23.15 22.90
  495 1.340  0.130 25.73 25.62 25.43 25.25 24.63 24.38 24.28 24.08 23.95
  497 0.621  0.181 27.30 26.82 26.16 25.60 25.58 25.53 25.50 25.44 26.26
  500 0.531  0.184 25.86 25.61 24.92 24.35 24.32 24.13 24.18 24.09 24.29
  501 0.283  0.233 24.63 24.27 23.38 23.08 22.95 22.92 22.85 22.77 22.78
  502 1.419  0.216 25.78 25.56 25.34 25.10 24.80 24.44 24.15 23.98 24.20
  507 1.587  0.169 26.74 26.12 25.92 25.76 25.68 25.19 24.85 24.84 25.04
  510 0.645  0.092 26.75 27.23 26.72 26.58 26.65 26.64 26.57 25.85 26.09
  511 0.833  0.259 23.92 23.80 23.42 22.77 22.55 22.52 22.33 22.26 22.00
  513 1.090  0.282 25.44 25.41 24.64 23.87 23.29 23.02 22.78 22.50 22.15
  514 0.401  0.450 23.91 22.50 20.55 19.64 19.30 19.08 18.83 18.54 18.20
  518 0.877  0.107 25.53 25.49 25.45 25.19 24.84 25.00 25.15 25.53 25.68
  520 0.427  0.556 24.52 24.22 23.41 23.18 23.07 23.00 23.03 22.94 23.34
  522 2.042  0.202 25.93 25.59 25.09 25.00 25.03 24.86 24.53 24.22 24.54
  523 0.193  0.109 27.56 26.76 25.89 25.72 25.78 25.57 25.53 25.63 25.45
  526 0.966  0.083 25.61 25.67 25.54 25.02 24.70 24.58 24.64 24.65 24.60
  527 0.644  0.162 27.62 27.42 26.81 26.60 27.04 26.72 26.51 25.83 26.01
  528 1.016  0.455 23.86 23.60 22.57 21.39 20.62 20.32 20.05 19.81 19.40
  529 0.688  0.181 30.63 27.51 26.53 25.67 25.30 25.09 24.96 24.76 24.48
  530 2.697  0.100 26.32 25.82 25.28 25.28 25.43 25.59 25.46 25.38 25.43
  531 0.860  0.226 26.77 26.69 26.51 25.93 25.70 25.77 25.64 25.36 99.00
  532 1.683  0.142 26.68 27.06 26.96 26.50 26.28 26.15 25.93 25.67 25.34
  533 1.055  0.462 24.79 24.68 24.58 24.10 23.71 23.67 23.54 23.45 23.56
  534 2.337  0.102 25.92 25.62 25.30 25.28 25.36 25.19 24.85 24.35 24.43
  535 1.589  0.323 25.16 25.00 24.83 24.68 24.45 24.12 23.79 23.85 23.94
  536 0.000  0.112 26.15 25.29 24.75 24.40 24.16 24.27 23.88 23.37 23.03
  537 1.886  0.106 26.42 26.30 26.29 26.35 26.38 26.33 26.15 25.93 25.77
  539 0.883  0.271 27.02 25.62 25.48 25.58 25.61 25.91 25.74 25.39 26.05
  540 2.174  0.186 25.08 24.40 24.10 23.97 23.88 23.71 23.37 23.06 22.85
  541 5.667  0.083 30.43 99.00 28.56 26.21 24.61 24.63 24.58 24.67 24.93
  542 2.070  0.306 25.78 24.90 24.67 24.61 24.68 24.76 24.58 24.28 24.77
  544 2.186  0.230 30.69 27.87 27.07 27.10 26.61 26.02 25.66 24.87 24.54
  545 0.491  0.739 22.80 22.34 21.11 20.38 20.04 19.86 19.64 19.29 18.94
  546 1.363  0.140 27.65 27.25 27.16 27.15 26.43 26.08 26.19 25.71 26.22
  547 0.692  0.182 26.26 26.53 25.98 25.38 25.26 25.16 25.10 25.23 24.94
  553 1.281  0.083 25.92 25.93 25.84 25.65 25.29 25.11 25.09 25.02 24.98
  554 0.466  0.160 27.65 26.93 26.08 25.45 25.41 25.14 25.32 25.06 25.21
  555 2.649  0.284 25.80 25.52 24.83 24.76 24.80 24.76 24.58 24.29 24.65
  557 0.136  0.185 23.88 23.44 23.07 22.90 22.95 22.96 22.95 22.88 23.03
